species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
accipiter gentilis,33.7,19.6,11.6,18.0,67.3,337.6,122.6,215.0,36.3,241.1,866.04,0,0,0,1,2.0,0,5,1
buteo buteo,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,0,0,1,3,2.0,0,5,2
milvus migrans,40.0,22.4,13.0,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,0,0,6,3,3.0,2,4,0
milvus milvus,40.2,26.6,13.2,18.7,52.9,481.5,241.6,241.6,49.9,317.3,1071.77,0,0,4,2,2.0,2,4,1
pernis apivorus,34.8,19.1,11.7,13.7,43.9,407.4,154.2,253.0,37.9,253.2,754.37,0,0,0,1,3.0,0,3,2
anser anser,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.41,0,0,5,3,3.0,1,2,3
vanellus vanellus,28.1,14.9,4.6,5.5,48.3,222.5,89.1,132.9,40.2,103.2,218.37,0,0,5,3,2.0,0,4,3
gallinago gallinago,69.7,56.9,4.6,6.0,30.0,127.9,56.6,71.3,44.3,54.0,112.94,0,0,5,3,3.0,0,0,3
scolopax rusticola,76.7,60.9,6.5,10.0,34.2,192.4,75.1,115.6,39.4,84.8,308.31,0,0,0,3,3.0,0,4,3
ciconia ciconia,189.1,153.4,23.5,33.1,217.2,565.6,260.2,306.8,45.9,249.8,3445.8,0,0,1,3,3.0,0,4,3
columba oenas,23.2,11.8,6.8,7.8,26.4,214.8,91.6,124.2,42.5,119.4,290.79,0,0,6,3,1.0,1,4,3
columba palumbus,27.8,13.1,8.0,7.8,31.5,246.4,101.4,145.0,41.2,153.2,490.0,0,0,6,2,1.0,1,4,3
streptopelia turtur,22.4,8.1,4.7,4.9,22.3,170.7,75.1,97.5,43.5,109.7,132.0,0,0,6,2,3.0,1,1,3
cuculus canorus,26.0,15.4,7.6,7.6,21.4,192.0,84.6,105.9,43.9,158.1,111.36,0,0,0,2,3.0,0,3,2
falco tinnunculus,20.8,14.1,10.6,11.5,39.1,241.0,123.2,118.4,51.0,154.5,183.21,0,0,4,3,3.0,0,5,0
coturnix coturnix,15.6,7.7,5.5,5.2,24.5,106.2,43.2,62.4,41.0,38.3,96.28,0,0,2,3,3.0,1,1,3
phasianus colchicus,35.4,22.0,12.9,11.4,63.3,237.7,61.3,175.8,25.8,449.8,1120.31,0,0,2,2,1.0,1,4,3
grus grus,108.1,58.1,10.7,16.8,234.4,540.6,225.5,300.2,43.0,193.4,5499.99,0,0,5,3,3.0,1,4,3
acrocephalus palustris,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,27.9,56.5,11.5,0,0,4,3,3.0,0,3,2
acrocephalus scirpaceus,18.2,8.7,3.2,2.9,21.3,65.3,16.0,49.5,24.3,51.1,12.3,0,0,5,3,3.0,0,3,2
hippolais icterina,17.5,9.1,3.8,3.4,20.6,77.9,24.0,53.8,30.8,54.6,13.2,0,0,6,1,3.0,0,3,2
aegithalos caudatus,7.6,4.2,2.5,3.3,15.9,63.1,14.0,49.5,22.0,87.8,8.6,0,0,0,2,1.0,0,3,2
alauda arvensis,14.6,8.8,4.4,4.7,23.6,106.7,36.0,70.8,33.6,67.6,37.31,0,0,1,3,2.0,2,4,3
lullula arborea,14.4,8.2,3.4,3.8,21.4,94.2,26.1,68.0,27.7,52.7,26.9,0,0,6,3,2.0,2,4,3
certhia brachydactyla,18.7,11.1,2.0,2.5,14.9,62.1,11.0,51.2,17.7,57.1,8.2,0,0,0,1,1.0,0,3,2
certhia familiaris,18.1,12.2,2.0,2.6,14.6,64.5,12.4,52.2,19.2,60.3,9.0,0,0,0,1,1.0,2,3,2
corvus corax,77.0,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,927.97,0,0,0,3,2.0,2,4,3
corvus corone,55.0,35.9,15.1,18.5,59.4,323.9,119.6,204.6,36.9,179.6,570.0,0,0,2,3,1.0,0,4,3
corvus monedula,35.2,21.4,11.2,13.3,43.3,231.1,90.5,141.3,39.1,122.4,246.0,0,0,2,3,2.0,2,4,3
garrulus glandarius,33.0,19.9,9.0,11.6,39.1,181.1,35.4,147.3,19.4,150.2,159.46,0,0,0,1,2.0,2,4,2
pica pica,40.8,26.1,12.4,13.7,49.1,194.5,44.6,149.9,22.9,237.4,217.48,0,0,2,3,1.0,2,4,3
emberiza calandra,16.2,9.6,6.0,8.2,24.4,97.2,25.7,71.3,26.5,70.5,48.5,0,0,1,3,2.0,1,4,3
emberiza citrinella,13.4,8.0,4.7,5.9,19.1,88.2,22.6,65.5,25.7,72.8,29.7,0,0,4,3,2.0,1,1,3
carduelis carduelis,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16.0,0,0,6,2,1.0,1,1,2
chloris chloris,14.4,11.0,7.6,8.8,17.3,85.3,27.8,57.4,32.5,55.7,26.0,0,0,6,2,1.0,1,1,1
coccothraustes coccothraustes,23.0,16.6,12.0,15.0,21.0,102.0,33.6,68.6,32.9,57.2,56.63,0,0,0,1,2.0,1,4,2
fringilla coelebs,14.7,9.8,5.5,6.7,17.8,85.9,23.7,62.2,27.6,65.9,23.81,0,0,0,2,2.0,2,3,1
fringilla montifringilla,14.4,9.5,5.9,7.4,19.0,89.3,29.0,60.3,32.5,61.7,23.19,0,0,0,1,3.0,1,4,1
linaria cannabina,12.4,7.8,5.0,6.6,15.7,78.4,26.9,51.2,34.4,56.2,19.53,0,0,4,2,1.0,1,1,3
loxia curvirostra,19.0,16.1,6.8,11.4,16.6,96.0,36.0,59.6,37.6,57.3,38.29,0,0,0,1,2.0,1,1,2
pyrrhula pyrrhula,13.1,8.6,8.2,9.0,18.0,88.6,22.1,66.7,24.9,68.3,24.26,0,0,0,2,1.0,1,4,2
spinus spinus,12.8,8.3,4.5,6.1,12.7,71.6,26.1,45.5,36.5,46.4,13.24,0,0,0,1,1.0,1,1,2
lanius collurio,18.7,10.6,5.6,7.0,23.8,93.7,29.0,64.6,31.0,75.9,28.44,0,0,6,3,3.0,0,3,2
locustella naevia,14.7,7.3,2.6,2.9,20.0,64.1,16.3,47.9,25.4,56.5,13.3,0,0,4,2,3.0,0,3,1
