species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
accipiter gentilis,33.7,19.6,11.6,18.0,67.3,337.6,122.6,215.0,36.3,241.1,866.04,0,0,0,1,2.0,0,5,1,55.0,332.5,312.0,353.0,239.5,223.0,256.0,23.5,22.0,25.0,79.2,74.4,84.0,931.5,717.0,1146.0,1.0,1.0,6.0,3.5,1.0,59.0,45.0,52.0,2,3,5,1,0,37.0,2,1,39.0,70.0,70.0,3.0,22.0,4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
buteo buteo,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,0,0,1,3,2.0,0,5,2,54.0,392.5,387.0,398.0,211.5,208.0,215.0,22.3,21.6,23.0,75.75,75.0,76.5,806.5,732.0,881.0,0.0,2.0,4.0,3.0,1.0,55.0,44.0,53.0,2,3,5,1,0,33.0,1,1,53.0,100.0,100.0,3.0,29.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
milvus migrans,40.0,22.4,13.0,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,0,0,6,3,3.0,2,4,0,57.5,455.5,447.0,464.0,262.0,256.0,268.0,26.05,25.1,27.0,55.55,55.2,55.9,828.5,807.0,850.0,0.0,1.0,5.0,2.5,1.0,54.0,43.0,56.0,2,3,5,3,0,32.0,2,1,42.0,87.0,87.0,3.0,24.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
milvus milvus,40.2,26.6,13.2,18.7,52.9,481.5,241.6,241.6,49.9,317.3,1071.77,0,0,4,2,2.0,2,4,1,63.0,496.5,490.0,503.0,335.0,327.0,343.0,27.55,27.4,27.7,53.0,53.2,52.8,1015.5,912.0,1119.0,0.0,1.0,5.0,2.0,1.0,57.0,45.0,63.0,2,3,5,1,0,32.0,2,1,50.0,71.0,71.0,2.0,26.0,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
pernis apivorus,34.8,19.1,11.7,13.7,43.9,407.4,154.2,253.0,37.9,253.2,754.37,0,0,0,1,3.0,0,3,2,56.0,409.5,404.0,415.0,255.0,251.0,259.0,20.9,20.5,21.3,52.75,51.9,53.6,899.0,836.0,962.0,0.0,1.0,3.0,2.0,1.0,52.0,41.0,49.0,2,3,5,2,0,33.0,1,1,42.0,88.0,88.0,2.0,29.0,6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
anser anser,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.41,0,0,5,3,3.0,1,2,3,82.5,453.5,465.0,442.0,134.0,139.0,129.0,64.05,66.6,61.5,81.75,84.7,78.8,3347.0,3578.0,3116.0,0.0,3.0,12.0,5.0,1.0,85.5,58.0,156.0,1,4,2,2,0,28.0,2,3,58.0,0.0,0.0,3.0,23.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanellus vanellus,28.1,14.9,4.6,5.5,48.3,222.5,89.1,132.9,40.2,103.2,218.37,0,0,5,3,2.0,0,4,3,107.5,570.0,580.0,560.0,227.0,227.0,227.0,162.5,170.0,155.0,220.0,220.0,220.0,3245.5,3341.0,3150.0,0.0,1.0,7.0,4.0,1.0,73.0,52.0,111.0,2,4,5,1,0,34.0,1,1,61.0,75.0,75.0,4.0,39.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gallinago gallinago,69.7,56.9,4.6,6.0,30.0,127.9,56.6,71.3,44.3,54.0,112.94,0,0,5,3,3.0,0,0,3,33.0,219.0,222.0,216.0,116.0,118.0,114.0,19.35,19.6,19.1,29.4,29.6,29.2,292.0,304.0,280.0,0.0,1.0,2.0,2.0,3.0,38.0,29.0,17.0,2,5,4,1,0,17.0,1,1,29.0,38.0,38.0,1.0,13.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scolopax rusticola,76.7,60.9,6.5,10.0,34.2,192.4,75.1,115.6,39.4,84.8,308.31,0,0,0,3,3.0,0,4,3,41.0,251.0,252.0,250.0,162.5,165.0,160.0,21.25,21.4,21.1,32.75,32.8,32.7,496.5,497.0,496.0,0.0,1.0,3.0,1.5,2.0,41.0,29.0,19.0,2,3,5,1,0,17.0,1,3,29.0,36.0,36.0,1.0,18.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ciconia ciconia,189.1,153.4,23.5,33.1,217.2,565.6,260.2,306.8,45.9,249.8,3445.8,0,0,1,3,3.0,0,4,3,27.0,175.5,179.0,172.0,114.5,116.0,113.0,16.4,16.8,16.0,23.25,23.6,22.9,144.0,144.0,144.0,0.0,1.0,2.0,1.5,2.5,29.0,22.0,8.0,2,3,5,1,0,14.0,1,3,22.0,28.0,28.0,1.0,13.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
