species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
accipiter gentilis,0.14380165289256203,0.10321715817694371,0.4465116279069767,0.5129032258064515,0.24627875507442487,0.5590794817250049,0.45526524148851943,0.6550169109357383,0.5835694050991502,0.5022656808967326,0.15661258178707604,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.3333333333333333,0.4339622641509434,0.5400663821716454,0.48317086628655503,0.5971195017516544,0.5923874449652038,0.4407364787111623,0.7216890595009596,0.10337042412514112,0.08895044629116652,0.11924119241192413,0.27940234791889007,0.24846500204666394,0.3131132917038359,0.1531194988305495,0.11768595041322315,0.18855480437046465,1.0,0.0,0.17391304347826086,0.2,0.3333333333333333,0.5646766169154228,0.6705426356589147,0.2814436948055509,1.0,0.5,1.0,0.25,0.0,1.0,1.0,0.3333333333333333,0.5,0.625,0.625,0.6666666666666667,0.5641025641025641,0.5714285714285714,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
buteo buteo,0.15592286501377411,0.11997319034852547,0.4930232558139535,0.467741935483871,0.28461885430762285,0.6466834268033261,0.552652414885194,0.7373167981961668,0.6402266288951843,0.4385881230622466,0.1371493052079826,0.0,0.0,0.16666666666666666,1.0,0.5,0.0,1.0,0.6666666666666666,0.42452830188679247,0.653864390706496,0.6211145852492183,0.6847022187621644,0.5128532878852435,0.4062140391254315,0.5905310300703774,0.0956297371391711,0.08648815020006156,0.10569105691056913,0.2646744930629669,0.25092099877200164,0.2796610169491526,0.13245782953296364,0.12016528925619835,0.14475097938740764,0.0,0.16666666666666666,0.08695652173913043,0.15000000000000002,0.3333333333333333,0.5149253731343283,0.6511627906976744,0.2869288574406231,1.0,0.5,1.0,0.25,0.0,0.8461538461538463,0.5,0.3333333333333333,0.7413793103448275,0.8928571428571428,0.8928571428571428,0.6666666666666667,0.7435897435897436,0.5714285714285714,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
milvus migrans,0.17851239669421487,0.12198391420911525,0.5116279069767442,0.4935483870967742,0.17456021650879566,0.790756140011603,0.8404592240696755,0.7395715896279593,0.9178470254957509,0.5699976150727403,0.13259925925251845,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.4575471698113207,0.773352299668089,0.7314695604193489,0.813156870377579,0.6562988211901718,0.5166858457997698,0.7600767754318617,0.11981938397032736,0.10803324099722994,0.13279132791327916,0.17844183564567767,0.16987310683585755,0.18777876895628903,0.13609428332933876,0.1325619834710744,0.1396267583516538,0.0,0.0,0.13043478260869565,0.09999999999999998,0.3333333333333333,0.5024875621890547,0.6317829457364341,0.30338434534583947,1.0,0.5,1.0,0.75,0.0,0.8076923076923077,1.0,0.3333333333333333,0.5517241379310345,0.7767857142857142,0.7767857142857142,0.6666666666666667,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
milvus milvus,0.17961432506887054,0.15013404825737264,0.5209302325581395,0.5354838709677419,0.18132611637347767,0.8373622123380391,0.9263657957244656,0.7549793310785418,0.9688385269121815,0.6839971380872883,0.19405581996378163,0.0,0.0,0.6666666666666666,0.5,0.5,1.0,0.8,0.3333333333333333,0.5094339622641509,0.8511142721669038,0.8105572926246091,0.8890618917866876,0.8636557307200681,0.6800920598388953,1.0,0.1294952427027899,0.12219144352108341,0.1375338753387534,0.16755602988260404,0.16168645108473187,0.17395182872435322,0.16700414059852725,0.14991735537190085,0.18409177314577582,0.0,0.0,0.13043478260869565,0.04999999999999999,0.3333333333333333,0.5398009950248756,0.6705426356589147,0.34178048379134435,1.0,0.5,1.0,0.25,0.0,0.8076923076923077,1.0,0.3333333333333333,0.689655172413793,0.6339285714285714,0.6339285714285714,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
pernis apivorus,0.14986225895316801,0.09986595174262736,0.45116279069767434,0.37419354838709673,0.14073071718538566,0.6940630438986655,0.5803642121931909,0.7978203682826004,0.6288951841359776,0.5311233007393275,0.13628843651320877,0.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.6666666666666666,0.44339622641509435,0.6861071597913704,0.6523818282140886,0.7177890229661348,0.6364152819201817,0.5051783659378596,0.7312859884836852,0.08659893565553943,0.07971683594952295,0.09417344173441736,0.16648879402347921,0.15636512484650017,0.17752007136485282,0.1477474648131772,0.13735537190082645,0.15814007306147412,0.0,0.0,0.043478260869565216,0.04999999999999999,0.3333333333333333,0.4776119402985074,0.5930232558139534,0.26498820690033453,1.0,0.5,1.0,0.5,0.0,0.8461538461538463,0.5,0.3333333333333333,0.5517241379310345,0.7857142857142857,0.7857142857142857,0.3333333333333333,0.7435897435897436,0.8571428571428571,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
anser anser,0.2953168044077135,0.18498659517426272,0.9534883720930234,0.6290322580645161,0.2864230942715381,0.7487913362985883,0.7802850356294537,0.7091319052987598,0.8923512747875357,0.2518483186262819,0.6000364003676437,0.0,0.0,0.8333333333333333,1.0,1.0,0.5,0.4,1.0,0.6933962264150944,0.7695590327169275,0.764576052970388,0.7703386531724408,0.2927141031103536,0.2474108170310702,0.31541906589891233,0.36494113852604415,0.363496460449369,0.36653116531165314,0.2902881536819637,0.2906262791649611,0.28991971454058874,0.5523855963370993,0.5905785123966942,0.5141907863199828,0.0,0.33333333333333337,0.43478260869565216,0.35,0.3333333333333333,0.8942786069651739,0.9224806201550387,0.8519006088530524,0.5,0.6666666666666666,0.4,0.5,0.0,0.653846153846154,1.0,1.0,0.8275862068965517,0.0,0.0,0.6666666666666667,0.5897435897435898,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanellus vanellus,0.11294765840220387,0.07171581769436997,0.1209302325581395,0.10967741935483871,0.16057735678845286,0.3364919744730226,0.32264449722882027,0.3464862833521233,0.6940509915014168,0.17338421178154068,0.0387354512280574,0.0,0.0,0.8333333333333333,1.0,0.5,0.0,0.8,1.0,0.9292452830188679,0.9905168326220959,0.9760897553798049,1.0,0.5568811248402215,0.4499424626006905,0.6289187460012795,1.0,1.0,1.0,0.880469583778015,0.8444535407286122,0.91971454058876,0.5356083208674595,0.551404958677686,0.5198108997140355,0.0,0.0,0.2173913043478261,0.25,0.3333333333333333,0.7388059701492536,0.8062015503875969,0.6050682902748066,1.0,0.6666666666666666,1.0,0.25,0.0,0.8846153846153846,0.5,0.3333333333333333,0.8793103448275862,0.6696428571428571,0.6696428571428571,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gallinago gallinago,0.3421487603305785,0.3532171581769436,0.1209302325581395,0.12580645161290321,0.07803337843933243,0.1535486366273448,0.19398258115597786,0.11499436302142049,0.8101983002832862,0.0560457906033866,0.019546997424673987,0.0,0.0,0.8333333333333333,1.0,1.0,0.0,0.0,1.0,0.22641509433962265,0.32479848269321954,0.3176384035313592,0.3304787855196575,0.24158500213037915,0.19907940161104715,0.2674344209852847,0.07660054829866152,0.0741766697445368,0.07926829268292684,0.06680896478121666,0.06508391322144905,0.0686886708296164,0.04741439870410011,0.04942148760330579,0.04540721027488966,0.0,0.0,0.0,0.04999999999999999,1.0,0.30348258706467657,0.36046511627906974,0.08946300257802643,1.0,0.8333333333333333,0.8,0.25,0.0,0.23076923076923073,0.5,0.3333333333333333,0.3275862068965517,0.33928571428571425,0.33928571428571425,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scolopax rusticola,0.38071625344352616,0.38002680965147445,0.20930232558139533,0.25483870967741934,0.09697789806044203,0.2782827306130342,0.2672209026128266,0.2814731304021044,0.671388101983003,0.1295015502027188,0.055104696557435225,0.0,0.0,0.0,1.0,1.0,0.0,0.8,1.0,0.3018867924528302,0.38549075391180654,0.3728158911164245,0.3966523939275983,0.3736685129953131,0.30724971231300346,0.4145873320537428,0.08885663602644735,0.08525700215450907,0.09281842818428188,0.08110992529348986,0.07818256242325008,0.08429973238180198,0.08121688967495062,0.08132231404958679,0.08111146007240029,0.0,0.0,0.043478260869565216,0.0,0.6666666666666666,0.34079601990049746,0.36046511627906974,0.10043332784817069,1.0,0.5,1.0,0.25,0.0,0.23076923076923073,0.5,1.0,0.3275862068965517,0.3214285714285714,0.3214285714285714,0.0,0.4615384615384615,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ciconia ciconia,1.0,0.9999999999999999,1.0,1.0,0.9224176815516463,1.0,1.0000000000000002,1.0,0.8555240793201135,0.5230145480562843,0.626133643949804,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.8,1.0,0.169811320754717,0.2422949265054528,0.23855067132609892,0.2448423511093811,0.2373242437153813,0.19447640966628305,0.26423544465770954,0.05757135945815191,0.056940597106802104,0.05826558265582656,0.040554962646744935,0.04052394596807205,0.04058876003568242,0.022950982255758406,0.02297520661157025,0.022926756698679277,0.0,0.0,0.0,0.0,0.8333333333333333,0.19154228855721392,0.22480620155038758,0.04009653886237727,1.0,0.5,1.0,0.25,0.0,0.11538461538461542,0.5,1.0,0.2068965517241379,0.25,0.25,0.0,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
