species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
accipiter gentilis,0.03891275229781535,0.022631749110895574,0.0133943004942035,0.020784259387557156,0.07771003648792203,0.3898203316244054,0.14156390005080596,0.2482564315735994,0.04191492309824026,0.27839360768555726,1.0,0.0,0.0,0.0,0.0011546810770865087,0.0023093621541730174,0.0,0.005773405385432544,0.0011546810770865087,0.04799301919720768,0.2901396160558464,0.27225130890052357,0.3080279232111693,0.20898778359511344,0.19458987783595114,0.22338568935427575,0.02050610820244328,0.019197207678883072,0.02181500872600349,0.06910994764397906,0.06492146596858639,0.07329842931937172,0.81282722513089,0.6256544502617801,1.0,0.0008726003490401396,0.0008726003490401396,0.005235602094240838,0.0030541012216404886,0.0008726003490401396,0.05148342059336824,0.03926701570680628,0.04537521815008726,0.0017452006980802793,0.002617801047120419,0.004363001745200698,0.0008726003490401396,0.0,0.03228621291448516,0.0017452006980802793,0.0008726003490401396,0.034031413612565446,0.06108202443280977,0.06108202443280977,0.002617801047120419,0.019197207678883072,0.0034904013961605585,0.0008726003490401396,0.0008726003490401396,0.0,0.0008726003490401396,0.0,0.0,0.0008726003490401396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008726003490401396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008726003490401396,0.0,0.0
buteo buteo,0.047292846792253984,0.02911342379133184,0.016598603609537608,0.021868001580819394,0.09985509155578974,0.5044131208009485,0.19391384534316952,0.3120800948491635,0.05045448557502305,0.2824397312607035,1.0,0.0,0.0,0.0013173494928204453,0.003952048478461335,0.0026346989856408905,0.0,0.006586747464102226,0.0026346989856408905,0.06129398410896708,0.44551645856980704,0.4392735527809308,0.4517593643586833,0.24006810442678775,0.23609534619750283,0.24404086265607264,0.025312145289443814,0.024517593643586834,0.026106696935300794,0.08598183881952327,0.0851305334846765,0.08683314415437003,0.9154370034052214,0.8308740068104427,1.0,0.0,0.0022701475595913734,0.004540295119182747,0.00340522133938706,0.0011350737797956867,0.06242905788876277,0.049943246311010214,0.060158910329171394,0.0022701475595913734,0.00340522133938706,0.0056753688989784334,0.0011350737797956867,0.0,0.03745743473325766,0.0011350737797956867,0.0011350737797956867,0.060158910329171394,0.11350737797956867,0.11350737797956867,0.00340522133938706,0.032917139614074914,0.004540295119182747,0.0011350737797956867,0.0011350737797956867,0.0,0.0011350737797956867,0.0,0.0011350737797956867,0.0011350737797956867,0.0011350737797956867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797956867,0.0011350737797956867,0.0,0.0011350737797956867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797956867,0.0,0.0
milvus migrans,0.05448848930663397,0.030513554011715023,0.017708759024656042,0.023702492848385777,0.07001770875902465,0.6230758752213594,0.29955046996322027,0.3235254052581392,0.06552240839122735,0.36711619670344636,1.0,0.0,0.0,0.008173273395995096,0.004086636697997548,0.004086636697997548,0.0027244244653316986,0.005448848930663397,0.0,0.06764705882352941,0.5358823529411765,0.5258823529411765,0.5458823529411765,0.30823529411764705,0.30117647058823527,0.31529411764705884,0.030647058823529413,0.029529411764705884,0.03176470588235294,0.06535294117647059,0.06494117647058824,0.06576470588235293,0.9747058823529412,0.9494117647058824,1.0,0.0,0.001176470588235294,0.0058823529411764705,0.0029411764705882353,0.001176470588235294,0.06352941176470588,0.05058823529411765,0.06588235294117648,0.002352941176470588,0.0035294117647058825,0.0058823529411764705,0.0035294117647058825,0.0,0.03764705882352941,0.002352941176470588,0.001176470588235294,0.04941176470588235,0.10235294117647059,0.10235294117647059,0.0035294117647058825,0.02823529411764706,0.0,0.0,0.0,0.0,0.0,0.001176470588235294,0.001176470588235294,0.001176470588235294,0.0,0.0,0.0,0.0,0.001176470588235294,0.0,0.0,0.001176470588235294,0.0,0.001176470588235294,0.0,0.0,0.001176470588235294,0.0,0.0,0.0,0.001176470588235294,0.0,0.001176470588235294,0.001176470588235294,0.001176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.001176470588235294,0.001176470588235294,0.001176470588235294,0.0
milvus milvus,0.03750804743555054,0.0248187577558618,0.012316075277344952,0.017447773309572017,0.04935760470996576,0.44925683682133294,0.225421499015647,0.225421499015647,0.04655849669238736,0.2960523246592086,1.0,0.0,0.0,0.0037321440234378647,0.0018660720117189323,0.0018660720117189323,0.0018660720117189323,0.0037321440234378647,0.0009330360058594662,0.05630026809651475,0.4436997319034853,0.43789097408400357,0.4495084897229669,0.2993744414655943,0.29222520107238603,0.3065236818588025,0.024620196604110814,0.02448614834673816,0.024754244861483466,0.04736371760500447,0.04754244861483468,0.04718498659517426,0.9075067024128687,0.8150134048257373,1.0,0.0,0.0008936550491510277,0.004468275245755138,0.0017873100983020554,0.0008936550491510277,0.05093833780160858,0.040214477211796246,0.05630026809651475,0.0017873100983020554,0.002680965147453083,0.004468275245755138,0.0008936550491510277,0.0,0.028596961572832886,0.0017873100983020554,0.0008936550491510277,0.044682752457551385,0.06344950848972297,0.06344950848972297,0.0017873100983020554,0.02323503127792672,0.0035746201966041107,0.0,0.0,0.0,0.0008936550491510277,0.0,0.0008936550491510277,0.0,0.0008936550491510277,0.0,0.0008936550491510277,0.0,0.0008936550491510277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008936550491510277,0.0,0.0008936550491510277,0.0008936550491510277,0.0008936550491510277,0.0,0.0,0.0,0.0,0.0,0.0,0.0008936550491510277,0.0008936550491510277,0.0008936550491510277,0.0
pernis apivorus,0.04613120882325649,0.025319140474833305,0.015509630552646578,0.018160849450534883,0.058194254808648274,0.5400532894998475,0.20440897702718824,0.33537919058287047,0.05024059811498336,0.3356443124726593,1.0,0.0,0.0,0.0,0.001325609448944152,0.003976828346832456,0.0,0.003976828346832456,0.002651218897888304,0.058212058212058215,0.42567567567567566,0.41995841995842,0.4313929313929314,0.26507276507276506,0.2609147609147609,0.2692307692307692,0.021725571725571723,0.02130977130977131,0.022141372141372143,0.05483367983367984,0.053950103950103946,0.05571725571725572,0.9345114345114345,0.8690228690228691,1.0,0.0,0.0010395010395010396,0.0031185031185031187,0.002079002079002079,0.0010395010395010396,0.05405405405405406,0.04261954261954262,0.05093555093555094,0.002079002079002079,0.0031185031185031187,0.005197505197505198,0.002079002079002079,0.0,0.034303534303534305,0.0010395010395010396,0.0010395010395010396,0.04365904365904366,0.09147609147609148,0.09147609147609148,0.002079002079002079,0.030145530145530147,0.006237006237006237,0.0010395010395010396,0.0,0.0,0.0,0.0010395010395010396,0.0010395010395010396,0.0010395010395010396,0.0010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010395010395010396,0.0,0.0,0.0010395010395010396,0.0,0.0,0.0,0.0,0.0,0.0010395010395010396,0.0,0.0,0.0010395010395010396,0.0,0.0
anser anser,0.01853192062766283,0.009629331306530686,0.006813206113111334,0.006540677868586881,0.02307405803640372,0.1319339512658937,0.061985035171284,0.06946442143767734,0.014292592379504667,0.041212326755309,1.0,0.0,0.0,0.0015140458029136298,0.0009084274817481779,0.0009084274817481779,0.00030280916058272596,0.0006056183211654519,0.0009084274817481779,0.02305757406372275,0.12674678591391839,0.12996087199552822,0.12353269983230855,0.03745108999441028,0.038848518725545,0.036053661263275576,0.01790106204583566,0.018613750698714362,0.01718837339295696,0.022847959754052544,0.023672442705422025,0.022023476802683063,0.9354387926215763,1.0,0.8708775852431526,0.0,0.0008384572386808273,0.003353828954723309,0.001397428731134712,0.00027948574622694243,0.023896031302403576,0.01621017328116266,0.043599776411403016,0.00027948574622694243,0.0011179429849077697,0.0005589714924538849,0.0005589714924538849,0.0,0.007825600894354388,0.0005589714924538849,0.0008384572386808273,0.01621017328116266,0.0,0.0,0.0008384572386808273,0.006428172163219676,0.0,0.00027948574622694243,0.0,0.0,0.00027948574622694243,0.0,0.0,0.0,0.0,0.0,0.0,0.00027948574622694243,0.00027948574622694243,0.0,0.0,0.00027948574622694243,0.0,0.00027948574622694243,0.0,0.0,0.0,0.00027948574622694243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027948574622694243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanellus vanellus,0.12629213483146068,0.06696629213483146,0.020674157303370785,0.024719101123595506,0.21707865168539325,1.0,0.40044943820224715,0.5973033707865169,0.1806741573033708,0.4638202247191011,0.981438202247191,0.0,0.0,0.02247191011235955,0.01348314606741573,0.008988764044943821,0.0,0.017977528089887642,0.01348314606741573,0.03217599521101466,0.1706076025142173,0.17360071834780005,0.16761448668063453,0.06794372942232864,0.06794372942232864,0.06794372942232864,0.048638132295719845,0.050882969170906914,0.046393295420532776,0.06584854833882071,0.06584854833882071,0.06584854833882071,0.9714157437892846,1.0,0.9428314875785693,0.0,0.000299311583358276,0.0020951810835079317,0.001197246333433104,0.000299311583358276,0.021849745585154144,0.01556420233463035,0.03322358575276863,0.000598623166716552,0.001197246333433104,0.00149655791679138,0.000299311583358276,0.0,0.010176593834181383,0.000299311583358276,0.000299311583358276,0.018258006584854835,0.022448368751870697,0.022448368751870697,0.001197246333433104,0.011673151750972763,0.0,0.000299311583358276,0.0,0.0,0.0,0.000299311583358276,0.0,0.0,0.0,0.000299311583358276,0.0,0.0,0.000299311583358276,0.0,0.0,0.000299311583358276,0.0,0.000299311583358276,0.0,0.0,0.0,0.0,0.0,0.0,0.000299311583358276,0.000299311583358276,0.000299311583358276,0.000299311583358276,0.0,0.0,0.0,0.0,0.0,0.000299311583358276,0.0,0.0,0.000299311583358276,0.0,0.0
gallinago gallinago,0.5449569976544175,0.44487881157154024,0.035965598123534004,0.04691164972634871,0.23455824863174354,1.0,0.4425332290852228,0.5574667709147771,0.34636434714620795,0.4222048475371384,0.8830336200156371,0.0,0.0,0.039093041438623924,0.023455824863174355,0.023455824863174355,0.0,0.0,0.023455824863174355,0.10855263157894737,0.7203947368421053,0.7302631578947368,0.7105263157894737,0.3815789473684211,0.3881578947368421,0.375,0.0636513157894737,0.06447368421052632,0.06282894736842105,0.09671052631578947,0.09736842105263159,0.09605263157894736,0.9605263157894737,1.0,0.9210526315789473,0.0,0.003289473684210526,0.006578947368421052,0.006578947368421052,0.009868421052631578,0.125,0.09539473684210527,0.05592105263157895,0.006578947368421052,0.01644736842105263,0.013157894736842105,0.003289473684210526,0.0,0.05592105263157895,0.003289473684210526,0.003289473684210526,0.09539473684210527,0.125,0.125,0.003289473684210526,0.04276315789473684,0.0,0.0,0.003289473684210526,0.0,0.003289473684210526,0.0,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.0,0.0
scolopax rusticola,0.24877558301709318,0.19752846161331128,0.021082676526872304,0.03243488696441893,0.11092731341831275,0.6240472251954202,0.24358600110278614,0.3749472933086828,0.12779345463981057,0.2750478414582725,1.0,0.0,0.0,0.0,0.009730466089325679,0.009730466089325679,0.0,0.012973954785767572,0.009730466089325679,0.08249496981891348,0.5050301810865191,0.5070422535211268,0.5030181086519114,0.32696177062374243,0.3319919517102616,0.32193158953722334,0.04275653923541248,0.04305835010060362,0.04245472837022133,0.0658953722334004,0.06599597585513078,0.06579476861167002,0.9989939637826962,1.0,0.9979879275653923,0.0,0.002012072434607646,0.006036217303822937,0.0030181086519114686,0.004024144869215292,0.08249496981891348,0.05835010060362173,0.03822937625754527,0.004024144869215292,0.006036217303822937,0.01006036217303823,0.002012072434607646,0.0,0.03420523138832998,0.002012072434607646,0.006036217303822937,0.05835010060362173,0.07243460764587525,0.07243460764587525,0.002012072434607646,0.03621730382293763,0.0,0.002012072434607646,0.0,0.0,0.002012072434607646,0.0,0.002012072434607646,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012072434607646,0.002012072434607646,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.002012072434607646,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0
ciconia ciconia,0.05487840269313367,0.04451796389807882,0.0068198966858204185,0.009605897034070462,0.06303325787915723,0.16414185385106506,0.07551221777236054,0.08903592779615764,0.01332056416507052,0.072494050728423,1.0,0.0,0.0,0.00029020836960937953,0.0008706251088281385,0.0008706251088281385,0.0,0.0011608334784375181,0.0008706251088281385,0.15083798882681565,0.9804469273743017,1.0,0.9608938547486033,0.6396648044692738,0.6480446927374302,0.6312849162011173,0.09162011173184356,0.09385474860335195,0.0893854748603352,0.12988826815642457,0.1318435754189944,0.12793296089385475,0.8044692737430168,0.8044692737430168,0.8044692737430168,0.0,0.00558659217877095,0.0111731843575419,0.008379888268156424,0.013966480446927373,0.16201117318435754,0.12290502793296089,0.0446927374301676,0.0111731843575419,0.01675977653631285,0.027932960893854747,0.00558659217877095,0.0,0.0782122905027933,0.00558659217877095,0.01675977653631285,0.12290502793296089,0.1564245810055866,0.1564245810055866,0.00558659217877095,0.07262569832402235,0.01675977653631285,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0
