filename,features,species
Muscicapa_striata/562754.mp3,000000053412.npy,Muscicapa_striata
Phylloscopus_trochilus/707916.mp3,000000075136.npy,Phylloscopus_trochilus
Phylloscopus_collybita/120448.mp3,000000069322.npy,Phylloscopus_collybita
Phoenicurus_phoenicurus/527728.mp3,000000068472.npy,Phoenicurus_phoenicurus
Corvus_corax/100659.mp3,000000016314.npy,Corvus_corax
Erithacus_rubecula/502413.mp3,000000032718.npy,Erithacus_rubecula
Parus_major/525899.mp3,000000058785.npy,Parus_major
Carduelis_chloris/614169.mp3,000000011280.npy,Carduelis_chloris
Muscicapa_striata/652540.mp3,000000053642.npy,Muscicapa_striata
Columba_oenas/42549.mp3,000000015735.npy,Columba_oenas
Jynx_torquilla/723442.mp3,000000044068.npy,Jynx_torquilla
Sylvia_communis/81919.mp3,000000091639.npy,Sylvia_communis
Carduelis_carduelis/298516.mp3,000000009348.npy,Carduelis_carduelis
Motacilla_alba/677815.mp3,000000051303.npy,Motacilla_alba
Coccothraustes_coccothraustes/655245.mp3,000000015381.npy,Coccothraustes_coccothraustes
Turdus_pilaris/466143.mp3,000000102135.npy,Turdus_pilaris
Sylvia_borin/493600.mp3,000000089668.npy,Sylvia_borin
Motacilla_flava/430523.mp3,000000051906.npy,Motacilla_flava
Fringilla_montifringilla/685033.mp3,000000040048.npy,Fringilla_montifringilla
Anthus_pratensis/445255.mp3,000000005683.npy,Anthus_pratensis
Acrocephalus_scirpaceus/734256.mp3,000000001966.npy,Acrocephalus_scirpaceus
Ficedula_hypoleuca/502224.mp3,000000035093.npy,Ficedula_hypoleuca
Emberiza_citrinella/328741.mp3,000000030424.npy,Emberiza_citrinella
Emberiza_calandra/156674.mp3,000000028867.npy,Emberiza_calandra
Cyanistes_caeruleus/253239.mp3,000000023009.npy,Cyanistes_caeruleus
Luscinia_megarhynchos/660049.mp3,000000049650.npy,Luscinia_megarhynchos
Luscinia_megarhynchos/647492.mp3,000000049718.npy,Luscinia_megarhynchos
Corvus_corone_corone/584762.mp3,000000019279.npy,Corvus_corone_corone
Strix_aluco/592413.mp3,000000085608.npy,Strix_aluco
Phoenicurus_ochruros/569025.mp3,000000067702.npy,Phoenicurus_ochruros
Loxia_curvirostra/665216.mp3,000000047656.npy,Loxia_curvirostra
Phylloscopus_trochilus/590805.mp3,000000074690.npy,Phylloscopus_trochilus
Anthus_pratensis/714571.mp3,000000006154.npy,Anthus_pratensis
Certhia_brachydactyla/655665.mp3,000000013291.npy,Certhia_brachydactyla
Loxia_curvirostra/634566.mp3,000000047470.npy,Loxia_curvirostra
Turdus_philomelos/417068.mp3,000000100361.npy,Turdus_philomelos
Loxia_curvirostra/701447.mp3,000000048011.npy,Loxia_curvirostra
Periparus_ater/622851.mp3,000000066103.npy,Periparus_ater
Turdus_iliacus/685352.mp3,000000096577.npy,Turdus_iliacus
Accipiter_gentilis/425329.mp3,000000000139.npy,Accipiter_gentilis
Phylloscopus_collybita/146749.mp3,000000069386.npy,Phylloscopus_collybita
Turdus_merula/726528.mp3,000000099757.npy,Turdus_merula
Phylloscopus_sibilatrix/134158.mp3,000000072777.npy,Phylloscopus_sibilatrix
Parus_major/698963.mp3,000000059998.npy,Parus_major
Erithacus_rubecula/590535.mp3,000000033297.npy,Erithacus_rubecula
Troglodytes_troglodytes/26239.mp3,000000093225.npy,Troglodytes_troglodytes
Locustella_naevia/557185.mp3,000000044749.npy,Locustella_naevia
Coturnix_coturnix/670972.mp3,000000021003.npy,Coturnix_coturnix
Phylloscopus_trochilus/648389.mp3,000000074992.npy,Phylloscopus_trochilus
Parus_cristatus/697517.mp3,000000055184.npy,Parus_cristatus
Anthus_pratensis/435012.mp3,000000005666.npy,Anthus_pratensis
Phylloscopus_collybita/393989.mp3,000000070597.npy,Phylloscopus_collybita
Sylvia_curucca/433027.mp3,000000092173.npy,Sylvia_curucca
Passer_montanus/210875.mp3,000000063871.npy,Passer_montanus
